date,BUY,SELL,long_short_ratio
2023-05-01,3,0,inf
2023-12-05,7,2,3.5
2023-12-14,5,6,0.8333333333333334
2023-12-15,2,0,inf
2023-12-16,3,0,inf
2023-12-17,3,11,0.2727272727272727
2023-12-18,2,0,inf
2023-12-19,5,10,0.5
2023-12-20,10,8,1.25
2023-12-21,22,27,0.8148148148148148
2023-12-22,8,2,4.0
2023-12-23,5,8,0.625
2023-12-24,21,18,1.1666666666666667
2023-12-25,2,1,2.0
2023-12-27,15,13,1.1538461538461537
2023-12-28,10,13,0.7692307692307693
2023-12-29,31,19,1.631578947368421
2023-12-30,20,32,0.625
2024-01-01,10,8,1.25
2024-01-02,9,8,1.125
2024-01-03,32,35,0.9142857142857143
2024-01-04,2,3,0.6666666666666666
2024-01-05,31,35,0.8857142857142857
2024-01-06,11,11,1.0
2024-01-07,52,45,1.1555555555555554
2024-01-08,40,88,0.45454545454545453
2024-01-09,28,42,0.6666666666666666
2024-01-10,92,101,0.9108910891089109
2024-01-11,13,8,1.625
2024-01-12,5,2,2.5
2024-01-15,5,9,0.5555555555555556
2024-01-16,4,5,0.8
2024-01-17,31,22,1.4090909090909092
2024-01-18,18,28,0.6428571428571429
2024-01-19,31,17,1.8235294117647058
2024-01-20,60,46,1.3043478260869565
2024-01-21,3,8,0.375
2024-01-22,51,34,1.5
2024-01-23,33,12,2.75
2024-01-24,27,41,0.6585365853658537
2024-01-25,0,6,0.0
2024-01-26,4,1,4.0
2024-01-28,0,11,0.0
2024-01-29,21,53,0.39622641509433965
2024-01-30,28,21,1.3333333333333333
2024-01-31,470,389,1.2082262210796915
2024-02-01,6,0,inf
2024-02-02,19,23,0.8260869565217391
2024-02-03,18,38,0.47368421052631576
2024-02-04,19,16,1.1875
2024-02-05,33,39,0.8461538461538461
2024-02-06,518,570,0.9087719298245615
2024-02-07,7,8,0.875
2024-02-08,2,8,0.25
2024-02-11,23,11,2.090909090909091
2024-02-12,11,5,2.2
2024-02-13,0,14,0.0
2024-02-14,34,77,0.44155844155844154
2024-02-15,52,11,4.7272727272727275
2024-02-16,115,67,1.7164179104477613
2024-02-17,50,44,1.1363636363636365
2024-02-18,38,59,0.6440677966101694
2024-02-19,41,60,0.6833333333333333
2024-02-20,13,26,0.5
2024-02-21,7,15,0.4666666666666667
2024-02-22,35,53,0.660377358490566
2024-02-23,131,12,10.916666666666666
2024-02-25,2,3,0.6666666666666666
2024-02-26,27,12,2.25
2024-02-27,33,30,1.1
2024-02-28,31,14,2.2142857142857144
2024-02-29,60,56,1.0714285714285714
2024-03-01,37,100,0.37
2024-03-02,28,3,9.333333333333334
2024-03-03,36,43,0.8372093023255814
2024-03-04,161,139,1.158273381294964
2024-03-05,55,125,0.44
2024-03-06,49,33,1.4848484848484849
2024-03-08,19,48,0.3958333333333333
2024-03-09,83,34,2.4411764705882355
2024-03-10,38,4,9.5
2024-03-11,12,30,0.4
2024-03-12,1,7,0.14285714285714285
2024-03-13,7,0,inf
2024-03-14,2,16,0.125
2024-03-15,26,36,0.7222222222222222
2024-03-16,5,3,1.6666666666666667
2024-03-17,18,5,3.6
2024-03-18,13,6,2.1666666666666665
2024-03-19,17,7,2.4285714285714284
2024-03-20,29,40,0.725
2024-03-21,26,2,13.0
2024-03-24,15,4,3.75
2024-03-25,0,7,0.0
2024-03-26,8,110,0.07272727272727272
2024-03-27,19,19,1.0
2024-03-28,12,1,12.0
2024-03-29,9,6,1.5
2024-03-30,1,44,0.022727272727272728
2024-03-31,0,13,0.0
2024-04-01,32,45,0.7111111111111111
2024-04-02,10,31,0.3225806451612903
2024-04-03,3,1,3.0
2024-04-04,0,32,0.0
2024-04-05,17,83,0.20481927710843373
2024-04-06,0,16,0.0
2024-04-07,0,23,0.0
2024-04-08,1,29,0.034482758620689655
2024-04-09,0,3,0.0
2024-04-10,40,1,40.0
2024-04-11,14,2,7.0
2024-04-12,43,86,0.5
2024-04-13,46,43,1.069767441860465
2024-04-14,46,61,0.7540983606557377
2024-04-15,18,23,0.782608695652174
2024-04-16,31,16,1.9375
2024-04-17,13,1,13.0
2024-04-19,5,30,0.16666666666666666
2024-04-20,20,2,10.0
2024-04-22,0,9,0.0
2024-04-23,37,29,1.2758620689655173
2024-04-24,13,7,1.8571428571428572
2024-04-25,74,0,inf
2024-04-26,0,3,0.0
2024-04-27,0,27,0.0
2024-04-28,0,58,0.0
2024-04-29,24,21,1.1428571428571428
2024-04-30,24,0,inf
2024-05-01,14,0,inf
2024-05-03,3,33,0.09090909090909091
2024-05-04,0,9,0.0
2024-05-05,1,5,0.2
2024-05-06,8,1,8.0
2024-05-07,6,12,0.5
2024-05-08,12,1,12.0
2024-05-09,9,19,0.47368421052631576
2024-05-10,16,6,2.6666666666666665
2024-05-11,0,9,0.0
2024-05-12,17,6,2.8333333333333335
2024-05-13,5,23,0.21739130434782608
2024-05-14,23,0,inf
2024-05-15,11,25,0.44
2024-05-16,14,13,1.0769230769230769
2024-05-18,7,18,0.3888888888888889
2024-05-19,8,0,inf
2024-05-20,7,3,2.3333333333333335
2024-05-21,29,96,0.3020833333333333
2024-05-22,0,6,0.0
2024-05-23,189,136,1.3897058823529411
2024-05-24,0,2,0.0
2024-05-25,7,9,0.7777777777777778
2024-05-26,2,14,0.14285714285714285
2024-05-27,93,158,0.5886075949367089
2024-05-29,67,97,0.6907216494845361
2024-05-30,5,2,2.5
2024-05-31,4,9,0.4444444444444444
2024-06-01,9,16,0.5625
2024-06-02,34,59,0.576271186440678
2024-06-03,44,26,1.6923076923076923
2024-06-04,25,28,0.8928571428571429
2024-06-05,17,37,0.4594594594594595
2024-06-06,102,132,0.7727272727272727
2024-06-07,181,259,0.6988416988416989
2024-06-08,21,8,2.625
2024-06-09,17,0,inf
2024-06-10,22,31,0.7096774193548387
2024-06-11,114,9,12.666666666666666
2024-06-12,115,139,0.8273381294964028
2024-06-13,76,3,25.333333333333332
2024-06-14,31,0,inf
2024-06-15,9,69,0.13043478260869565
2024-06-16,0,11,0.0
2024-06-17,32,6,5.333333333333333
2024-06-18,21,4,5.25
2024-06-19,3,58,0.05172413793103448
2024-06-20,0,39,0.0
2024-06-21,68,12,5.666666666666667
2024-06-22,4,20,0.2
2024-06-23,0,5,0.0
2024-06-24,25,6,4.166666666666667
2024-06-25,11,38,0.2894736842105263
2024-06-26,41,31,1.3225806451612903
2024-06-27,12,18,0.6666666666666666
2024-06-29,35,40,0.875
2024-06-30,5,9,0.5555555555555556
2024-07-01,6,58,0.10344827586206896
2024-07-02,13,5,2.6
2024-07-03,18,0,inf
2024-07-04,25,0,inf
2024-07-05,32,0,inf
2024-07-06,17,7,2.4285714285714284
2024-07-07,0,10,0.0
2024-07-08,1,0,inf
2024-07-09,0,15,0.0
2024-07-10,10,46,0.21739130434782608
2024-07-11,10,9,1.1111111111111112
2024-07-12,19,0,inf
2024-07-13,0,17,0.0
2024-07-14,0,7,0.0
2024-07-15,2,24,0.08333333333333333
2024-07-16,0,22,0.0
2024-07-17,155,196,0.7908163265306123
2024-07-18,60,0,inf
2024-07-19,1,22,0.045454545454545456
2024-07-20,41,225,0.18222222222222223
2024-07-21,239,209,1.1435406698564594
2024-07-22,103,51,2.019607843137255
2024-07-23,137,233,0.5879828326180258
2024-07-24,54,36,1.5
2024-07-25,77,1,77.0
2024-07-26,43,109,0.3944954128440367
2024-07-27,9,48,0.1875
2024-07-28,15,1,15.0
2024-07-29,18,21,0.8571428571428571
2024-07-30,6,0,inf
2024-07-31,17,26,0.6538461538461539
2024-08-01,47,10,4.7
2024-08-02,42,21,2.0
2024-08-03,36,1,36.0
2024-08-04,60,67,0.8955223880597015
2024-08-05,41,39,1.0512820512820513
2024-08-06,76,31,2.4516129032258065
2024-08-07,12,21,0.5714285714285714
2024-08-08,5,4,1.25
2024-08-09,54,90,0.6
2024-08-10,87,1,87.0
